"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","606,053","±965","606,053","(X)","3,542,835","±1,940","3,542,835","(X)","85,267","±435","85,267","(X)","1,102,088","±958","1,102,088","(X)","840,273","±1,373","840,273","(X)","1,214,271","±1,461","1,214,271","(X)","157,049","±714","157,049","(X)","78,846","±346","78,846","(X)","77,948","±465","77,948","(X)"
"        Occupied housing units","573,589","±3,461","94.6%","±0.5","3,311,231","±8,549","93.5%","±0.2","80,969","±1,208","95.0%","±1.3","1,037,312","±5,286","94.1%","±0.5","718,733","±5,454","85.5%","±0.6","1,126,419","±6,245","92.8%","±0.5","147,466","±1,981","93.9%","±1.2","71,968","±1,295","91.3%","±1.6","73,495","±1,504","94.3%","±1.8"
"        Vacant housing units","32,464","±3,310","5.4%","±0.5","231,604","±8,249","6.5%","±0.2","4,298","±1,078","5.0%","±1.3","64,776","±5,034","5.9%","±0.5","121,540","±5,318","14.5%","±0.6","87,852","±6,004","7.2%","±0.5","9,583","±1,825","6.1%","±1.2","6,878","±1,274","8.7%","±1.6","4,453","±1,364","5.7%","±1.8"
"    Homeowner vacancy rate","0.4","±0.2","(X)","(X)","0.9","±0.1","(X)","(X)","0.9","±0.8","(X)","(X)","1.0","±0.3","(X)","(X)","1.7","±0.4","(X)","(X)","0.8","±0.2","(X)","(X)","1.0","±0.6","(X)","(X)","0.2","±0.2","(X)","(X)","0.8","±0.9","(X)","(X)"
"    Rental vacancy rate","2.7","±0.6","(X)","(X)","3.3","±0.3","(X)","(X)","4.2","±2.0","(X)","(X)","3.0","±0.5","(X)","(X)","4.5","±0.7","(X)","(X)","3.5","±0.6","(X)","(X)","1.9","±0.9","(X)","(X)","3.8","±2.0","(X)","(X)","3.8","±2.2","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","606,053","±965","606,053","(X)","3,542,835","±1,940","3,542,835","(X)","85,267","±435","85,267","(X)","1,102,088","±958","1,102,088","(X)","840,273","±1,373","840,273","(X)","1,214,271","±1,461","1,214,271","(X)","157,049","±714","157,049","(X)","78,846","±346","78,846","(X)","77,948","±465","77,948","(X)"
"        1-unit, detached","314,540","±5,551","51.9%","±0.9","1,721,253","±12,997","48.6%","±0.4","63,428","±1,934","74.4%","±2.2","555,773","±6,741","50.4%","±0.6","575,014","±6,508","68.4%","±0.8","623,739","±6,562","51.4%","±0.5","89,643","±2,716","57.1%","±1.8","55,810","±1,699","70.8%","±2.1","44,483","±2,027","57.1%","±2.5"
"        1-unit, attached","54,570","±3,071","9.0%","±0.5","235,961","±7,090","6.7%","±0.2","1,858","±554","2.2%","±0.6","134,917","±5,031","12.2%","±0.5","45,940","±2,879","5.5%","±0.3","121,842","±5,047","10.0%","±0.4","11,863","±1,737","7.6%","±1.1","1,427","±565","1.8%","±0.7","6,692","±1,272","8.6%","±1.6"
