"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Percent","Los Angeles County, California!!Estimate","Los Angeles County, California!!Percent","Merced County, California!!Estimate","Merced County, California!!Percent","Orange County, California!!Estimate","Orange County, California!!Percent","Riverside County, California!!Estimate","Riverside County, California!!Percent","San Diego County, California!!Estimate","San Diego County, California!!Percent","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Percent","Shasta County, California!!Estimate","Shasta County, California!!Percent","Yolo County, California!!Estimate","Yolo County, California!!Percent"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","629,159","3,620,201","3,620,201","89,328","89,328","1,139,043","1,139,043","858,681","858,681","1,237,685","1,237,685","159,771","159,771","79,713","79,713","81,252","81,252"
"        Occupied housing units","589,180","93.6%","3,375,587","93.2%","84,967","95.1%","1,077,193","94.6%","765,673","89.2%","1,162,896","94.0%","150,550","94.2%","71,506","89.7%","76,844","94.6%"
"        Vacant housing units","39,979","6.4%","244,614","6.8%","4,361","4.9%","61,850","5.4%","93,008","10.8%","74,789","6.0%","9,221","5.8%","8,207","10.3%","4,408","5.4%"
"        Homeowner vacancy rate","0.7","(X)","0.7","(X)","0.3","(X)","0.5","(X)","0.9","(X)","0.8","(X)","1.1","(X)","1.6","(X)","0.0","(X)"
"        Rental vacancy rate","6.1","(X)","4.3","(X)","3.7","(X)","3.9","(X)","3.9","(X)","3.7","(X)","2.4","(X)","5.2","(X)","1.5","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","629,159","3,620,201","3,620,201","89,328","89,328","1,139,043","1,139,043","858,681","858,681","1,237,685","1,237,685","159,771","159,771","79,713","79,713","81,252","81,252"
"        1-unit, detached","322,776","51.3%","1,728,781","47.8%","63,824","71.4%","567,675","49.8%","587,325","68.4%","621,256","50.2%","92,626","58.0%","55,838","70.0%","49,172","60.5%"
"        1-unit, attached","56,494","9.0%","241,219","6.7%","2,192","2.5%","146,491","12.9%","52,326","6.1%","127,442","10.3%","13,945","8.7%","2,132","2.7%","4,399","5.4%"
