"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Estimate Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Estimate Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Estimate Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Estimate Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Estimate Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Estimate Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Estimate Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Estimate Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Estimate Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","582,628","±2,724","582,628","(X)","3,444,870","±4,461","3,444,870","(X)","83,690","±632","83,690","(X)","1,049,079","±2,589","1,049,079","(X)","801,324","±1,028","801,324","(X)","1,165,043","±5,312","1,165,043","(X)","152,819","±1,544","152,819","(X)","104,444","±3,942","104,444","(X)","75,095","±3,857","75,095","(X)"
"    Occupied housing units","537,410","±4,196","92.2%","±0.6","3,202,353","±9,199","93.0%","±0.2","73,885","±2,088","88.3%","±2.4","986,297","±5,154","94.0%","±0.4","670,075","±6,112","83.6%","±0.7","1,061,210","±7,516","91.1%","±0.5","140,842","±2,337","92.2%","±1.4","91,264","±4,582","87.4%","±2.0","68,585","±4,168","91.3%","±2.1"
"    Vacant housing units","45,218","±3,521","7.8%","±0.6","242,517","±7,702","7.0%","±0.2","9,805","±1,998","11.7%","±2.4","62,782","±4,069","6.0%","±0.4","131,249","±5,808","16.4%","±0.7","103,833","±5,679","8.9%","±0.5","11,977","±2,170","7.8%","±1.4","13,180","±1,933","12.6%","±2.0","6,510","±1,516","8.7%","±2.1"
"    Homeowner vacancy rate","1.9","±0.4","(X)","(X)","2.0","±0.2","(X)","(X)","2.9","±1.7","(X)","(X)","1.4","±0.3","(X)","(X)","3.4","±0.5","(X)","(X)","2.4","±0.4","(X)","(X)","1.3","±0.9","(X)","(X)","2.6","±1.3","(X)","(X)","1.9","±1.3","(X)","(X)"
"    Rental vacancy rate","5.6","±0.7","(X)","(X)","5.3","±0.3","(X)","(X)","10.8","±3.2","(X)","(X)","5.5","±0.6","(X)","(X)","9.0","±1.1","(X)","(X)","5.4","±0.7","(X)","(X)","4.3","±1.6","(X)","(X)","6.7","±2.3","(X)","(X)","7.2","±3.0","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","582,628","±2,724","582,628","(X)","3,444,870","±4,461","3,444,870","(X)","83,690","±632","83,690","(X)","1,049,079","±2,589","1,049,079","(X)","801,324","±1,028","801,324","(X)","1,165,043","±5,312","1,165,043","(X)","152,819","±1,544","152,819","(X)","104,444","±3,942","104,444","(X)","75,095","±3,857","75,095","(X)"
"    1-unit, detached","305,127","±6,590","52.4%","±1.1","1,708,090","±12,491","49.6%","±0.4","61,260","±1,805","73.2%","±2.2","533,826","±6,795","50.9%","±0.6","544,728","±6,294","68.0%","±0.8","601,937","±7,796","51.7%","±0.6","88,665","±2,733","58.0%","±1.7","68,240","±3,332","65.3%","±2.4","44,223","±2,131","58.9%","±2.8"
"    1-unit, attached","43,939","±2,966","7.5%","±0.5","228,163","±6,110","6.6%","±0.2","2,389","±638","2.9%","±0.8","130,980","±4,708","12.5%","±0.4","49,678","±3,187","6.2%","±0.4","104,684","±4,579","9.0%","±0.4","11,037","±1,690","7.2%","±1.1","8,637","±1,345","8.3%","±1.2","4,840","±993","6.4%","±1.3"
"    2 units","26,369","±2,405","4.5%","±0.4","87,229","±4,773","2.5%","±0.1","3,406","±1,021","4.1%","±1.2","19,302","±2,325","1.8%","±0.2","9,352","±1,834","1.2%","±0.2","26,454","±2,965","2.3%","±0.3","4,579","±1,289","3.0%","±0.8","3,731","±1,097","3.6%","±1.0","2,465","±902","3.3%","±1.3"
"    3 or 4 units","42,601","±3,256","7.3%","±0.6","191,501","±7,411","5.6%","±0.2","5,182","±1,389","6.2%","±1.7","70,697","±4,038","6.7%","±0.4","26,881","±2,745","3.4%","±0.3","61,188","±4,202","5.3%","±0.4","9,788","±1,548","6.4%","±1.0","4,712","±1,195","4.5%","±1.1","5,149","±1,563","6.9%","±1.9"
"    5 to 9 units","33,800","±3,269","5.8%","±0.6","264,643","±9,010","7.7%","±0.3","4,312","±1,047","5.2%","±1.3","65,382","±4,377","6.2%","±0.4","33,876","±3,535","4.2%","±0.4","85,968","±4,534","7.4%","±0.4","9,928","±1,316","6.5%","±0.9","4,382","±1,090","4.2%","±1.0","4,432","±1,350","5.9%","±1.7"
"    10 to 19 units","31,283","±2,939","5.4%","±0.5","266,810","±6,828","7.7%","±0.2","1,165","±574","1.4%","±0.7","66,839","±4,427","6.4%","±0.4","27,885","±3,431","3.5%","±0.4","78,377","±5,090","6.7%","±0.4","9,715","±1,577","6.4%","±1.0","2,534","±793","2.4%","±0.7","4,515","±1,344","6.0%","±1.7"
"    20 or more units","93,306","±4,261","16.0%","±0.7","644,709","±10,811","18.7%","±0.3","1,383","±367","1.7%","±0.4","130,309","±5,430","12.4%","±0.5","34,044","±3,034","4.2%","±0.4","163,624","±4,870","14.0%","±0.4","11,183","±1,273","7.3%","±0.8","5,559","±1,026","5.3%","±0.9","5,707","±1,084","7.6%","±1.3"
"    Mobile home","5,915","±1,142","1.0%","±0.2","51,364","±3,261","1.5%","±0.1","4,388","±1,068","5.2%","±1.3","30,962","±2,494","3.0%","±0.2","73,182","±3,878","9.1%","±0.5","41,793","±2,393","3.6%","±0.2","7,846","±1,333","5.1%","±0.9","6,434","±1,266","6.2%","±1.2","3,395","±752","4.5%","±1.0"
"    Boat, RV, van, etc.","288","±231","0.0%","±0.1","2,361","±669","0.1%","±0.1","205","±242","0.2%","±0.3","782","±521","0.1%","±0.1","1,698","±635","0.2%","±0.1","1,018","±582","0.1%","±0.1","78","±100","0.1%","±0.1","215","±204","0.2%","±0.2","369","±365","0.5%","±0.5"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","582,628","±2,724","582,628","(X)","3,444,870","±4,461","3,444,870","(X)","83,690","±632","83,690","(X)","1,049,079","±2,589","1,049,079","(X)","801,324","±1,028","801,324","(X)","1,165,043","±5,312","1,165,043","(X)","152,819","±1,544","152,819","(X)","104,444","±3,942","104,444","(X)","75,095","±3,857","75,095","(X)"
"    Built 2005 or later","19,179","±2,091","3.3%","±0.4","92,514","±5,419","2.7%","±0.2","5,455","±1,093","6.5%","±1.3","33,087","±2,784","3.2%","±0.3","94,058","±5,013","11.7%","±0.6","52,834","±3,320","4.5%","±0.3","6,136","±1,029","4.0%","±0.7","2,786","±974","2.7%","±0.9","5,859","±1,307","7.8%","±1.7"
"    Built 2000 to 2004","25,073","±2,507","4.3%","±0.4","114,193","±5,148","3.3%","±0.2","11,466","±1,578","13.7%","±1.9","65,286","±4,109","6.2%","±0.4","129,631","±6,073","16.2%","±0.8","93,576","±4,982","8.0%","±0.4","7,462","±1,506","4.9%","±1.0","5,981","±1,403","5.7%","±1.3","8,052","±1,231","10.7%","±1.5"
"    Built 1990 to 1999","45,762","±3,484","7.9%","±0.6","209,484","±7,737","6.1%","±0.2","11,716","±1,514","14.0%","±1.8","117,079","±4,726","11.2%","±0.5","128,609","±6,031","16.0%","±0.8","140,554","±5,941","12.1%","±0.5","11,878","±1,631","7.8%","±1.1","8,433","±1,520","8.1%","±1.4","10,106","±1,616","13.5%","±2.2"
"    Built 1980 to 1989","60,578","±3,257","10.4%","±0.6","396,690","±10,002","11.5%","±0.3","12,117","±1,772","14.5%","±2.1","163,750","±5,555","15.6%","±0.5","183,897","±6,323","22.9%","±0.8","217,685","±6,437","18.7%","±0.6","24,671","±2,065","16.1%","±1.4","14,366","±1,857","13.8%","±1.7","10,337","±1,913","13.8%","±2.2"
"    Built 1970 to 1979","103,945","±5,326","17.8%","±0.9","491,217","±10,511","14.3%","±0.3","15,215","±1,744","18.2%","±2.1","265,738","±6,338","25.3%","±0.6","119,403","±4,997","14.9%","±0.6","284,309","±8,359","24.4%","±0.7","30,216","±2,563","19.8%","±1.7","23,184","±2,262","22.2%","±2.1","15,292","±1,950","20.4%","±2.6"
