"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","599,780","±1,020","599,780","(X)","3,520,811","±2,122","3,520,811","(X)","84,432","±449","84,432","(X)","1,090,121","±993","1,090,121","(X)","831,404","±996","831,404","(X)","1,202,397","±1,966","1,202,397","(X)","155,962","±633","155,962","(X)","105,635","±640","105,635","(X)","77,166","±481","77,166","(X)"
"        Occupied housing units","572,012","±3,657","95.4%","±0.6","3,305,589","±8,089","93.9%","±0.2","77,713","±1,471","92.0%","±1.7","1,032,218","±5,228","94.7%","±0.5","715,040","±4,938","86.0%","±0.6","1,110,568","±6,697","92.4%","±0.5","142,449","±2,099","91.3%","±1.3","96,257","±1,860","91.1%","±1.6","73,055","±1,314","94.7%","±1.6"
"        Vacant housing units","27,768","±3,595","4.6%","±0.6","215,222","±8,136","6.1%","±0.2","6,719","±1,460","8.0%","±1.7","57,903","±5,263","5.3%","±0.5","116,364","±4,759","14.0%","±0.6","91,829","±6,238","7.6%","±0.5","13,513","±2,065","8.7%","±1.3","9,378","±1,643","8.9%","±1.6","4,111","±1,271","5.3%","±1.6"
"    Homeowner vacancy rate","1.0","±0.3","(X)","(X)","1.1","±0.2","(X)","(X)","0.6","±0.6","(X)","(X)","1.0","±0.3","(X)","(X)","2.0","±0.4","(X)","(X)","1.1","±0.3","(X)","(X)","0.8","±0.6","(X)","(X)","0.3","±0.3","(X)","(X)","1.5","±1.4","(X)","(X)"
"    Rental vacancy rate","2.1","±0.6","(X)","(X)","2.9","±0.2","(X)","(X)","5.8","±2.6","(X)","(X)","3.0","±0.6","(X)","(X)","4.6","±0.7","(X)","(X)","3.8","±0.6","(X)","(X)","2.7","±1.1","(X)","(X)","1.6","±1.1","(X)","(X)","1.6","±1.2","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","599,780","±1,020","599,780","(X)","3,520,811","±2,122","3,520,811","(X)","84,432","±449","84,432","(X)","1,090,121","±993","1,090,121","(X)","831,404","±996","831,404","(X)","1,202,397","±1,966","1,202,397","(X)","155,962","±633","155,962","(X)","105,635","±640","105,635","(X)","77,166","±481","77,166","(X)"
"        1-unit, detached","313,903","±5,409","52.3%","±0.9","1,701,666","±11,522","48.3%","±0.3","63,766","±1,931","75.5%","±2.2","555,778","±6,103","51.0%","±0.6","556,427","±6,775","66.9%","±0.8","608,723","±7,547","50.6%","±0.6","90,096","±2,784","57.8%","±1.7","67,626","±2,409","64.0%","±2.2","45,106","±1,941","58.5%","±2.5"
"        1-unit, attached","52,191","±3,445","8.7%","±0.6","218,015","±6,468","6.2%","±0.2","1,819","±541","2.2%","±0.6","131,540","±4,948","12.1%","±0.5","47,029","±2,737","5.7%","±0.3","120,067","±4,586","10.0%","±0.4","10,285","±1,683","6.6%","±1.1","8,380","±1,489","7.9%","±1.4","5,014","±1,019","6.5%","±1.3"
"        2 units","21,453","±2,059","3.6%","±0.3","88,925","±4,770","2.5%","±0.1","2,180","±672","2.6%","±0.8","18,353","±2,282","1.7%","±0.2","12,942","±2,130","1.6%","±0.3","22,739","±2,535","1.9%","±0.2","5,390","±1,156","3.5%","±0.7","3,221","±1,014","3.0%","±1.0","1,361","±639","1.8%","±0.8"
"        3 or 4 units","39,994","±2,793","6.7%","±0.5","208,087","±7,466","5.9%","±0.2","3,562","±829","4.2%","±1.0","76,708","±4,561","7.0%","±0.4","35,295","±2,450","4.2%","±0.3","56,620","±4,056","4.7%","±0.3","10,851","±1,777","7.0%","±1.1","4,961","±1,354","4.7%","±1.3","5,013","±1,263","6.5%","±1.6"
"        5 to 9 units","32,670","±2,347","5.4%","±0.4","286,243","±6,947","8.1%","±0.2","3,943","±864","4.7%","±1.0","76,621","±5,062","7.0%","±0.5","36,694","±3,309","4.4%","±0.4","89,871","±4,537","7.5%","±0.4","12,237","±1,589","7.8%","±1.0","4,770","±1,179","4.5%","±1.1","5,308","±1,190","6.9%","±1.5"
